       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574057        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193894          17.16313902        -154.43944722        -137.27630821
    2400          59.52572194          18.98553111        -156.33952786        -137.35399675
    2500          58.92686581          18.79452794        -156.03041539        -137.23588745
    2600          61.65941057          19.66606400        -156.94491183        -137.27884783
    2700          58.81987819          18.76040459        -156.07031130        -137.30990671
    2800          53.15475452          16.95353223        -154.26693035        -137.31339812
    2900          54.95193294          17.52673632        -154.82877246        -137.30203614
    3000          55.99963548          17.86089756        -155.23428948        -137.37339192
    3100          56.97369961          18.17157207        -155.46229979        -137.29072772
    3200          54.82660787          17.48676430        -154.82425941        -137.33749511
    3300          58.17829312          18.55577317        -155.99088421        -137.43511104
    3400          57.28761414          18.27169407        -155.64132251        -137.36962844
    3500          55.43527443          17.68089648        -155.09613551        -137.41523903
    3600          55.08690689          17.56978581        -155.00142866        -137.43164286
    3700          56.84783554          18.13142815        -155.56343214        -137.43200400
    3800          51.62374959          16.46522330        -153.98185738        -137.51663408
    3900          52.18980833          16.64576586        -154.10780438        -137.46203852
    4000          52.04649768          16.60005740        -153.99307463        -137.39301724
    4100          56.74142928          18.09749022        -155.56836150        -137.47087127
    4200          51.99597170          16.58394231        -154.04211014        -137.45816784
    4300          51.52711282          16.43440133        -153.89682618        -137.46242486
    4400          53.08819336          16.93230277        -154.37573051        -137.44342774
    4500          55.29214509          17.63524585        -154.99636524        -137.36111939
    4600          50.51686534          16.11218625        -153.48052838        -137.36834214
    4700          54.82673605          17.48680518        -154.82744332        -137.34063814
    4800          51.59718601          16.45675094        -153.91881081        -137.46205987
    4900          44.22796648          14.10636287        -151.43771954        -137.33135668
    5000          51.39653930          16.39275533        -153.82416644        -137.43141111
    5100          51.40163472          16.39438050        -153.82519871        -137.43081821
    5200          52.17149321          16.63992431        -153.92551678        -137.28559248
    5300          55.89107831          17.82627361        -155.20603739        -137.37976378
    5400          51.78968573          16.51814808        -153.88963807        -137.37148999
    5500          52.33689230          16.69267780        -154.07232811        -137.37965032
    5600          51.24853489          16.34554982        -153.74487332        -137.39932350
    5700          48.81700491          15.57002142        -153.00006043        -137.43003901
    5800          54.18972783          17.28363353        -154.69442820        -137.41079467
    5900          53.39669019          17.03069681        -154.44080290        -137.41010609
    6000          51.78858252          16.51779622        -153.88238799        -137.36459178
    6100          50.35436448          16.06035714        -153.47514866        -137.41479152
    6200          52.27001751          16.67134830        -153.87420762        -137.20285931
    6300          52.10579869          16.61897126        -153.92354967        -137.30457841
    6400          48.35983602          15.42420892        -152.70590262        -137.28169370
    6500          55.61089832          17.73691113        -155.10137515        -137.36446402
    6600          50.97798239          16.25925800        -153.63513431        -137.37587631
    6700          51.65965609          16.47667556        -153.86465545        -137.38797989
    6800          52.78896796          16.83686582        -154.10354894        -137.26668311
    6900          54.61812217          17.42026848        -154.79201817        -137.37174969
    7000          54.62015483          17.42091679        -154.78937678        -137.36845998
    7100          48.64649743          15.51563862        -152.77758325        -137.26194463
    7200          51.91017120          16.55657652        -153.83072778        -137.27415126
    7300          47.50587113          15.15183966        -152.45400548        -137.30216582
    7400          49.27734429          15.71684513        -152.99522896        -137.27838383
    7500          54.88623728          17.50578290        -154.83137565        -137.32559275
    7600          50.85637440          16.22047153        -153.56528701        -137.34481548
    7700          50.81579664          16.20752939        -153.61131416        -137.40378477
    7800          55.99574235          17.85965585        -155.25562436        -137.39596850
    7900          48.91062560          15.59988142        -152.94874375        -137.34886233
    8000          54.15670253          17.27310022        -154.56751402        -137.29441380
    8100          51.29489872          16.36033741        -153.68250896        -137.32217155
    8200          54.50405816          17.38388814        -154.73357772        -137.34968958
    8300          50.95569657          16.25215001        -153.55102024        -137.29887023
    8400          52.90541101          16.87400495        -154.23937591        -137.36537096
    8500          55.14296841          17.58766644        -155.00029919        -137.41263275
    8600          43.76524404          13.95877908        -151.30015470        -137.34137562
    8700          48.89696978          15.59552595        -153.02325707        -137.42773112
    8800          51.28499382          16.35717828        -153.76578949        -137.40861122
    8900          52.18926505          16.64559258        -154.04671301        -137.40112043
    9000          49.19276489          15.68986881        -153.05437066        -137.36450184
    9100          50.88191243          16.22861680        -153.55089081        -137.32227400
    9200          51.77984967          16.51501090        -153.77371884        -137.25870794
